Queue ID,Company Name,Segment,Tier,Location,Decision Maker,Role,Email,Phone,LinkedIn,Scale,Fit,Pain,Angle,Source,Status,Usability Status,Priority Score,Channel,Language,English Confidence,Phone Allowed,Text Outreach Ready,DM Verification,Email Verification,Email Source,From Address,Sender Readiness,Automation Stage,Automation Blocker,Send Batch,Send Approved,Subject EN,Subject HU,Follow-up Due,Sent At,Reply Status,Thread ID,Next Action,First Message EN,First Message HU,First Message,Follow Up 1,Notes
CEEFM-C-021,Bliss Residence & Spa,Aparthotel + spa,Tier 1,VI,Not found,Owner,info@blissbudapest.com,Not found,Not found,1 property + spa,Aparthotel + spa hybrid,Spa adds FM complexity hygiene compliance,Spa-grade hygiene pitch,hotels.com,Qualify then send,Text only - generic inbox,14,Email,EN+HU,Medium,No,Yes,Role only / unverified,Generic only,Source workbook,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Manual send only until sender DNS is fixed,Manual approval before email,email generic only,Batch 2 - approve generic inbox,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Email outreach,"Hi there, Bliss Residence & Spa looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?","Üdvözlöm, a(z) Bliss Residence & Spa típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Hi there, Bliss Residence & Spa looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?

---

Üdvözlöm, a(z) Bliss Residence & Spa típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Quick follow-up. The useful part may simply be a short benchmark: where cleaning, maintenance, and handoff risk usually leak time before peak season. Open to a 15-minute call?",
CEEFM-C-019,Bo33 Hotel Family & Suites,Aparthotel + suites,Tier 1,VIII,Not found,GM,info@bo33hotel.com,Not found,Not found,30+ rooms/suites,Mid-size family + suite operator,Family segment compliance priorities,Family safety + compliance pitch,tripadvisor.com,Qualify then send,Text only - generic inbox,14,Email,EN+HU,Medium,No,Yes,Role only / unverified,Generic only,Source workbook,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Manual send only until sender DNS is fixed,Manual approval before email,email generic only,Batch 2 - approve generic inbox,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Cold email,"Hi there, Bo33 Hotel Family & Suites looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?","Üdvözlöm, a(z) Bo33 Hotel Family & Suites típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Hi there, Bo33 Hotel Family & Suites looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?

---

Üdvözlöm, a(z) Bo33 Hotel Family & Suites típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Quick follow-up. The useful part may simply be a short benchmark: where cleaning, maintenance, and handoff risk usually leak time before peak season. Open to a 15-minute call?",
CEEFM-C-009,K46 Residence Group,Aparthotel garden property,Tier 1,V,Not found,Owner,info@k46residence.com,Not found,Not found,1+ confirmed,Garden aparthotel near Opera,Premium amenity brand reputation on cleanliness,Premium amenity / wellness angle,cozycozy.com,Qualify then send,Text only - generic inbox,14,Email,EN+HU,Medium,No,Yes,Role only / unverified,Generic only,Source workbook,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Manual send only until sender DNS is fixed,Manual approval before email,email generic only,Batch 2 - approve generic inbox,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Cold email,"Hi there, K46 Residence Group looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?","Üdvözlöm, a(z) K46 Residence Group típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Hi there, K46 Residence Group looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?

---

Üdvözlöm, a(z) K46 Residence Group típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Quick follow-up. The useful part may simply be a short benchmark: where cleaning, maintenance, and handoff risk usually leak time before peak season. Open to a 15-minute call?",
CEEFM-C-017,Opera Garden Hotel & Apartments,Hotel + apartments,Tier 1,VI,Not found,GM,info@operagardenhotel.hu,Not found,Not found,Hybrid hotel + apartments,Hybrid hotel-apartment near Opera House,Daily turnover + long-stay cleaning needs,Mixed-format pitch,lusha.com,Qualify then send,Text only - generic inbox,14,Email,EN+HU,Medium,No,Yes,Role only / unverified,Generic only,Source workbook,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Manual send only until sender DNS is fixed,Manual approval before email,email generic only,Batch 2 - approve generic inbox,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Email outreach,"Hi there, Opera Garden Hotel & Apartments looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?","Üdvözlöm, a(z) Opera Garden Hotel & Apartments típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Hi there, Opera Garden Hotel & Apartments looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?

---

Üdvözlöm, a(z) Opera Garden Hotel & Apartments típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Quick follow-up. The useful part may simply be a short benchmark: where cleaning, maintenance, and handoff risk usually leak time before peak season. Open to a 15-minute call?",
CEEFM-C-023,Prince Apartments,Aparthotel + pool,Tier 1,VIII (Jozsefváros),Not found,Owner,info@princeapartments.hu,Not found,Not found,21 rooms + indoor pool,21-room aparthotel with pool,Pool adds compliance + chemical management,Pool + spa compliance pitch,myaparthotel.com,Qualify then send,Text only - generic inbox,14,Email,EN+HU,Medium,No,Yes,Role only / unverified,Generic only,Source workbook,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Manual send only until sender DNS is fixed,Manual approval before email,email generic only,Batch 2 - approve generic inbox,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Cold email,"Hi there, Prince Apartments looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?","Üdvözlöm, a(z) Prince Apartments típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Hi there, Prince Apartments looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?

---

Üdvözlöm, a(z) Prince Apartments típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Quick follow-up. The useful part may simply be a short benchmark: where cleaning, maintenance, and handoff risk usually leak time before peak season. Open to a 15-minute call?",
CEEFM-C-015,Vagabond Soho Budapest,Aparthotel,Tier 1,VII,Not found,GM,info@vagabondhospitality.com,Not found,Not found,56 rooms,Anchor property of Vagabond group,High volume central location,Approach via parent Vagabond,myaparthotel.com,Qualify then send,Text only - generic inbox,14,Email,EN+HU,Medium,No,Yes,Role only / unverified,Generic only,Source workbook,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Manual send only until sender DNS is fixed,Manual approval before email,email generic only,Batch 2 - approve generic inbox,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Bundle with Vagabond group,"Hi there, Vagabond Soho Budapest looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?","Üdvözlöm, a(z) Vagabond Soho Budapest típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Hi there, Vagabond Soho Budapest looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?

---

Üdvözlöm, a(z) Vagabond Soho Budapest típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Quick follow-up. The useful part may simply be a short benchmark: where cleaning, maintenance, and handoff risk usually leak time before peak season. Open to a 15-minute call?",
CEEFM-C-002,Continental Group,Hotel management group,Tier 1,Multi-district,Gabor Flesch,Director of Operations,gabor@continentalgroup.hu,Not found,Not found,4+ Budapest hotels,Hungarian-owned multi-property operator,Possible competitor: their site markets FM services,INVESTIGATE first - read their FM services page,continentalgroup.hu,Research first,Research before outreach,14,Email,EN+HU,High,Only after text reply,No,Named in source workbook,Direct - website confirmed,Continental Group contact page,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Manual send only until sender DNS is fixed,Hold,research first,Hold,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Read their services page before any contact,"Hi Gabor, Continental Group looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?","Szia Gabor, a(z) Continental Group típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Hi Gabor, Continental Group looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?

---

Szia Gabor, a(z) Continental Group típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Quick follow-up. The useful part may simply be a short benchmark: where cleaning, maintenance, and handoff risk usually leak time before peak season. Open to a 15-minute call?",Verify competitor risk before pitching. Website lists operations director.
CEEFM-C-007,Adina Apartment Hotels (TFE Hotels),International aparthotel chain,Tier 1,XIII (Hegedűs Gyula 52-54),Not found,GM Budapest,Not found,Not found,linkedin.com/company/tfe-hotels,1 BP + international parent,International chain. Entry to regional contract.,Corporate brand standards audit-heavy,EU directive compliance documentation pitch,apartmentservice.de,Cold / Q4,Park,13,Research,EN+HU,Medium,No,No,Role only / unverified,Missing,,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Not ready for automated email,Hold,email missing; parked,Hold,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Revisit in Q4 2026 for 2027 contract cycle,Do not send now. Revisit in Q4 2026 for the 2027 contract cycle.,Do not send now. Revisit in Q4 2026 for the 2027 contract cycle.,Do not send now. Revisit in Q4 2026 for the 2027 contract cycle.,No written follow-up until the row has a named contact and send status.,Council reviewed. Group procurement sits outside Budapest.
CEEFM-C-027,City Gardens Hotel & Wellness,Hotel + apartments + wellness,Tier 1,Central Pest,Not found,GM,Not found,Not found,Not found,Hybrid hotel + apartments,Hybrid with wellness facilities,Mid-stay + wellness complex cleaning,Wellness + mid-stay angle,flatio.com,Find contact,Find verified decision maker,13,Research,EN+HU,Medium,No,No,Missing,Missing,,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Not ready for automated email,Enrichment needed,missing verified decision maker; email missing,Hold,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Email outreach,"Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.","Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.","Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.",No written follow-up until the row has a named contact and send status.,
CEEFM-C-018,Opera Residence,Aparthotel,Tier 1,VI,Agnes / Krisztian,Co-owners,Not found,Not found,Not found,20+ apartments,Owner-operated since 2007 20+ years hospitality,Personal brand premium quality,Peer hospitality experience angle,operaresidence.hu,Find contact,Needs verification,13,Research,EN+HU,Medium,No,No,Named in source workbook,Missing,,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Not ready for automated email,Hold,email missing,Hold,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Email outreach EN/HU,"Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.","Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.","Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.",No written follow-up until the row has a named contact and send status.,
CEEFM-C-016,Senator Apartments Budapest,Serviced apartments,Tier 1,Multi-district,Not found,Owner,Not found,Not found,Not found,Multiple apartments,Listed in Hungarian hospitality directories,Distributed apartments cleaning logistics,Logistics simplification pitch,lusha.com,Find contact,Find verified decision maker,13,Research,EN+HU,Medium,No,No,Missing,Missing,,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Not ready for automated email,Enrichment needed,missing verified decision maker; email missing,Hold,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Verify ops scale first,"Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.","Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.","Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.",No written follow-up until the row has a named contact and send status.,
CEEFM-C-029,Vagabond Grand'Or,Aparthotel,Tier 1,VI,Not found,GM,Not found,Not found,Not found,30+ rooms,Sister to Vagabond Soho,Brand consistency need across properties,Approach via parent Vagabond,myaparthotel.com,Find contact,Find verified decision maker,13,Research,EN+HU,Medium,No,No,Missing,Missing,,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Not ready for automated email,Enrichment needed,missing verified decision maker; email missing,Hold,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Bundle with Vagabond Soho,"Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.","Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.","Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.",No written follow-up until the row has a named contact and send status.,
CEEFM-C-057,Be.budget.rooms,Private dormitory ELTE,Tier 3,ELTE campus,Not found,Owner,info@bebudgetrooms.com,Not found,Not found,120+ beds,Operators from 250-bed hostel volume experience,ELTE focus academic-year peaks,Academic-calendar pitch,elte.hu,Qualify then send,Text only - generic inbox,13,Email,EN+HU,Medium,No,Yes,Role only / unverified,Generic only,Source workbook,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Manual send only until sender DNS is fixed,Manual approval before email,email generic only,Batch 2 - approve generic inbox,No,Budapest FM partnership,Budapesti FM együttműködés,,,,,Email outreach,"Hi there, I noticed Be.budget.rooms and the likely operations pressure around ELTE focus academic-year peaks. CEEFM helps Budapest operators simplify FM delivery through Academic-calendar pitch. Worth a quick call?","Üdvözlöm, a(z) Be.budget.rooms típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Hi there, I noticed Be.budget.rooms and the likely operations pressure around ELTE focus academic-year peaks. CEEFM helps Budapest operators simplify FM delivery through Academic-calendar pitch. Worth a quick call?

---

Üdvözlöm, a(z) Be.budget.rooms típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Quick follow-up. The useful part may simply be a short benchmark: where cleaning, maintenance, and handoff risk usually leak time before peak season. Open to a 15-minute call?",
CEEFM-C-054,Downtown Apartments (Speedcarve),Student rooms + studios,Tier 3,Multi-district,Not found,Operations,dtabooking@speedcarve.hu,Not found,Not found,450+ rooms,Largest Tier 3 volume 24-hour hotline,450+ rooms major operational unit,Volume cleaning pitch,elte.hu,Qualify then send,Needs verification,13,Email,EN+HU,Medium,No,No,Role only / unverified,Unverified direct-looking,Source workbook,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Manual send only until sender DNS is fixed,Hold,email unverified direct-looking,Hold,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Email outreach,"Hi there, I noticed Downtown Apartments (Speedcarve) and the likely operations pressure around 450+ rooms major operational unit. CEEFM helps Budapest operators simplify FM delivery through Volume cleaning pitch. Worth a quick call?","Üdvözlöm, a(z) Downtown Apartments (Speedcarve) típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Hi there, I noticed Downtown Apartments (Speedcarve) and the likely operations pressure around 450+ rooms major operational unit. CEEFM helps Budapest operators simplify FM delivery through Volume cleaning pitch. Worth a quick call?

---

Üdvözlöm, a(z) Downtown Apartments (Speedcarve) típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Quick follow-up. The useful part may simply be a short benchmark: where cleaning, maintenance, and handoff risk usually leak time before peak season. Open to a 15-minute call?",
CEEFM-C-028,BUDAPEST Residence (ARR Hungary Kft),Serviced apartments multi-brand,Tier 1,Multi-district,Gabor Balogh / Imre Tevan,Operator / senior contact,info@bpresidence.hu,+36 30 590 5327,linkedin.com/in/tevanimre,"Multi-property (BumbleBEE, X.ROOF, BIG JOE, Little JOE)",Multi-branded NTAK-registered properties,Multi-brand cleaning logistics fragmented,Multi-brand consolidation pitch,apartments-budapest.hu,Send now,English text-ready,13,Email + LinkedIn,EN+HU,High,Only after text reply,Yes,Named operator from reviewed sheet,Generic only,Reviewed Top 10,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Not relevant - manual LinkedIn,Manual LinkedIn step,,Batch 1 - manual LinkedIn,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,"Email Gabor, LinkedIn DM Imre if needed","Hi Gabor, BUDAPEST Residence (ARR Hungary Kft) looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?","Szia Gabor, a(z) BUDAPEST Residence (ARR Hungary Kft) típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Hi Gabor, BUDAPEST Residence (ARR Hungary Kft) looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?

---

Szia Gabor, a(z) BUDAPEST Residence (ARR Hungary Kft) típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Quick follow-up. The useful part may simply be a short benchmark: where cleaning, maintenance, and handoff risk usually leak time before peak season. Open to a 15-minute call?",Council reviewed. Multi-brand consolidation angle.
CEEFM-C-013,Florin Apart Hotel,Aparthotel,Tier 1,VII (Erzsébetváros),Tamás Cselőtei,General Manager,info@florinaparthotel.hu,Not found,hu.linkedin.com/in/tamás-cselőtei-7b733076,63 rooms,63 rooms near Hungarian National Museum,Mid-size cleaning team management weak link,Mid-size structure pitch,myaparthotel.com,Send now,English text-ready,13,LinkedIn,EN+HU,Medium,No,Yes,Named in source workbook,Generic only,Source workbook,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Not relevant - manual LinkedIn,Manual LinkedIn step,,Batch 1 - manual LinkedIn,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Send reviewed LinkedIn DM or HU email,"Hi Tamás, Florin Apart Hotel looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?","Szia Tamás, a(z) Florin Apart Hotel típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Hi Tamás, Florin Apart Hotel looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?

---

Szia Tamás, a(z) Florin Apart Hotel típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Quick follow-up. The useful part may simply be a short benchmark: where cleaning, maintenance, and handoff risk usually leak time before peak season. Open to a 15-minute call?",Council reviewed.
CEEFM-C-053,Guest Student Company,Multi-property dormitory,Tier 3,"VIII, IX, XIV",Gordon,Owner,Not found,Not found,Not found,150+ beds across 8+ buildings,Multi-property operator confirmed,Multi-building cleaning logistics pain,Multi-property efficiency pitch,gueststudent.com,Find contact,Needs verification,12,Research,EN+HU,Medium,No,No,Named in source workbook,Missing,,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Not ready for automated email,Hold,email missing,Hold,No,Cleaning and maintenance support for managed properties,Takarítási és karbantartási támogatás kezelt ingatlanokhoz,,,,,LinkedIn search Gordon + email,"Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.","Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.","Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.",No written follow-up until the row has a named contact and send status.,
CEEFM-C-037,24-plus Property Management,Property management társasházkezelés,Tier 2,BP,Not found,MD,info@24plus.hu,Not found,Not found,Multiple buildings,Wide-range property ops + HOA management,Multi-building portfolio cleaning subcontract needs,Specialist cleaning subcontractor angle,ingatlanturul.eu,Qualify then send,Text only - generic inbox,12,Email,EN+HU,Low,No,Yes,Role only / unverified,Generic only,Source workbook,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Manual send only until sender DNS is fixed,Manual approval before email,email generic only,Batch 2 - approve generic inbox,No,Cleaning and maintenance support for managed properties,Takarítási és karbantartási támogatás kezelt ingatlanokhoz,,,,,Email - cleaning specialist partner pitch,"Hi there, managing distributed properties means owner trust depends on vendors showing up consistently. CEEFM helps Budapest property managers replace ad hoc cleaning and maintenance with one accountable FM contract. Worth a 15-minute call?","Üdvözlöm, a(z) 24-plus Property Management típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Hi there, managing distributed properties means owner trust depends on vendors showing up consistently. CEEFM helps Budapest property managers replace ad hoc cleaning and maintenance with one accountable FM contract. Worth a 15-minute call?

---

Üdvözlöm, a(z) 24-plus Property Management típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Quick follow-up. The useful part may simply be a short benchmark: where cleaning, maintenance, and handoff risk usually leak time before peak season. Open to a 15-minute call?",
CEEFM-C-031,Cordia HOA portfolio,Luxury residential developer + HOA,Tier 2,Multi-district,Not found,HOA president / Operations,Not found,Not found,linkedin.com/company/cordia,Multiple premium new-builds,Premier premium residential developer big multi-building portfolio,Premium positioning tenant complaint reduction,Premium tenant retention angle,apartmentsofbudapest.com,Qualify then send,English text-ready,12,LinkedIn,EN+HU,Medium,No,Yes,Role only / unverified,Missing,,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Not relevant - manual LinkedIn,Manual LinkedIn step,,Batch 1 - manual LinkedIn,No,Budapest FM partnership,Budapesti FM együttműködés,,,,,Research HOA boards per Cordia project,"Hi there, managing distributed properties means owner trust depends on vendors showing up consistently. CEEFM helps Budapest property managers replace ad hoc cleaning and maintenance with one accountable FM contract. Worth a 15-minute call?","Üdvözlöm, a(z) Cordia HOA portfolio típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Hi there, managing distributed properties means owner trust depends on vendors showing up consistently. CEEFM helps Budapest property managers replace ad hoc cleaning and maintenance with one accountable FM contract. Worth a 15-minute call?

---

Üdvözlöm, a(z) Cordia HOA portfolio típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Quick follow-up. The useful part may simply be a short benchmark: where cleaning, maintenance, and handoff risk usually leak time before peak season. Open to a 15-minute call?",
