status,lane,company,website,city,country,sector,trigger_observation,proof_to_use,source,contact_name,contact_role,contact_url,email,first_contact_sent,follow_up_1_sent,follow_up_2_sent,linkedin_touch,mini_observation_created,next_action,notes
drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,Premier Property Management,https://premierpropertymanagement.hu/,Budapest,Hungary,Property management,Footer misspells the company name and proof near the main claim is thin,AI Visibility Scan / CEEFM,live website check 2026-07-14,Kata Zabeczki,Managing Director,https://premierpropertymanagement.hu/,kata@ppmgt.hu,,,,,2026-07-14,Emmanuel approve first-touch email,Live footer displays "Premier Propery Management Ltd."; direct contact confirmed.
drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,Interház,https://interhaz.hu/en/,Budapest,Hungary,Property management,International-owner clarity for condominium management,AI Visibility Scan / CEEFM,02-lead-leak-reviews/batch-2,Interház team,,https://interhaz.hu/en/,info@interhaz.hu,,,,,2026-06-23,Emmanuel approve first-touch email,Existing batch-2 review refreshed into Lane A packet; current automated page recheck blocked by anti-bot layer.
research,Lane A Budapest credibility-first SMEs,Professional Office Cleaning Hungary,,Budapest,Hungary,Commercial cleaning,Office cleaning and recurring service demand,CEEFM infrastructure proof,market-research-sprint-2026-06-23.md,,,,,,,,,,quick fit check if property lane weak,
drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,Takarító Kommandó,https://www.takaritokommando.hu/,Budapest,Hungary,Commercial cleaning,Hungarian and English sites use different brand and email routes,CEEFM infrastructure proof,live website check 2026-07-14,Takarító Kommandó team,,https://www.takaritokommando.hu/,takaritokommando@gmail.com,,,,,2026-07-14,Emmanuel approve first-touch email,English site lists office.cleaningcommando@gmail.com; copy uses only the contact-path inconsistency.
drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,FirstClean,https://firstclean.hu/home,Budapest,Hungary,Commercial cleaning,English homepage contains property-search and placeholder template leftovers,CEEFM infrastructure proof,live website check 2026-07-14,FirstClean team,,https://firstclean.hu/home,office@firstclean.hu,,,,,2026-07-14,Emmanuel approve first-touch email,Live page shows To Let / For Sale filter; Section title; and COMPANY HEADQUEARTERS beside strong commercial proof.
research,Lane A Budapest credibility-first SMEs,Expert Cleaning Service,,Budapest,Hungary,Commercial cleaning,Commercial cleaning directory evidence,CEEFM infrastructure proof,market-research-sprint-2026-06-23.md,,,,,,,,,,quick fit check,
research,Lane A Budapest credibility-first SMEs,R-SEC Security,,Budapest,Hungary,Security services,Trust-heavy regulated service with visible credibility needs,CEEFM credibility proof,market-research-sprint-2026-06-23.md,,,,,,,,,,watchlist only,
research,Lane A Budapest credibility-first SMEs,Securitas Hungary,,Budapest,Hungary,Security services,Security benchmark in local directory evidence,CEEFM credibility proof,market-research-sprint-2026-06-23.md,,,,,,,,,,benchmark/watchlist only,
research,Lane A Budapest credibility-first SMEs,Medicare Dental Clinic,,Budapest,Hungary,Dental/private clinic,High-value clinic market but competitive,AI Visibility Scan,market-research-sprint-2026-06-23.md,,,,,,,,,,later lane,
drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,Budapest Dental Solutions,https://www.budapestdentalsolutions.com/about-us,Budapest,Hungary,Dental/private clinic,Visible English errors sit on the main international-patient trust page,AI Visibility Scan,live website check 2026-07-14,Gabor Hajas,Clinic Manager,https://www.budapestdentalsolutions.com/about-us,hello@budapestdentalsolutions.com,,,,,2026-07-14,Emmanuel approve first-touch email,Copy uses only visible spelling and grammar issues; no medical-performance claims.
research,Lane A Budapest credibility-first SMEs,Dental Treatment Hungary,,Budapest,Hungary,Dental/private clinic,High-value clinic market but competitive,AI Visibility Scan,market-research-sprint-2026-06-23.md,,,,,,,,,,later lane,
research-high-scale,Lane A Budapest credibility-first SMEs,Helvetic Clinics,,Budapest,Hungary,Dental/private clinic,4.9 rating and 3506 reviews; existing scale,Premium AI Visibility Audit,market-research-sprint-2026-06-23.md + Emmanuel expanded search 2026-07-14,,,,,,,,,,Later premium-audit lane,Do not pitch a website rebuild; this is the same Helvetic Clinics already in the batch.
research,Lane A Budapest credibility-first SMEs,Evergreen Dental,,Budapest,Hungary,Dental/private clinic,High-value clinic market but competitive,AI Visibility Scan,market-research-sprint-2026-06-23.md,,,,,,,,,,later lane,
research,Lane A Budapest credibility-first SMEs,Dentium,,Budapest,Hungary,Dental/private clinic,High-value clinic market but competitive,AI Visibility Scan,market-research-sprint-2026-06-23.md,,,,,,,,,,later lane,
drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,Denteo,https://denteo.hu/en/,Budapest,Hungary,Dental/private clinic,English homepage retains Hungarian header copy and a mismatched mental-health block,AI Visibility Scan,live website check 2026-07-14,Denteo team,,https://denteo.hu/en/,info@denteo.hu,,,,,2026-07-14,Emmanuel approve first-touch email,Copy uses translation and content-fit observations only; no medical-performance claims.
drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,Dental Care Hungary,https://dental-care-hungary.com/,Budapest,Hungary,Dental-tourism network,Homepage scale claim is followed by three zero-value proof counters,AI Visibility Scan,live website check 2026-07-14,Dental Care Hungary team,,https://dental-care-hungary.com/,office@dental-care-hungary.com,,,,,2026-07-14,Emmanuel approve first-touch email,Live page describes 40+ clinics and thousands of patients but displays 0 counters; no medical-performance claims.
prior-outreach-review-required,Lane B African-owned businesses in Europe,HR Time,https://hrtime.ro/,Bucharest,Romania,HR / services,Existing GEO audit candidate outside Budapest,AI Visibility Scan,reports/geo-audits/GEO-AUDIT-hrtime-ro-2026-06-12.md,,,,,,,,,2026-06-12,Verify Gmail history before any new contact,Command Center records prior Day-1 and Day-5 outreach activity; do not duplicate.
deferred-scan-drafted,Deferred: West Africa later expansion,Dental De Classique Clinic,,Lagos,Nigeria,Dental clinic,4.9 rating and 521 reviews; no owned website found,Patient acquisition website / local SEO / WhatsApp booking,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,https://dental-de-classique-clinic-lekki-lagos.business.site/,,,,,,2026-07-14,Hold until first-30-day lane review,Public phone +234 802 954 1267; mini scan and routing message remain useful later; review count is user-supplied and needs a Maps recheck.
deferred-verified-owned-site,Deferred: West Africa later expansion,Romax Properties,https://www.romaxestate.com/,Lagos,Nigeria,Real estate developer,5.0 rating and 504 reviews; owned website exists,Investor / buyer funnel and AI visibility audit,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,https://www.romaxestate.com/,,,,,,2026-07-14,Hold until first-30-day lane review,Do not use the no-website angle; public search found the owned Romax website.
deferred-verified-owned-site-fragmented-booking,Deferred: West Africa later expansion,Whiten Lighten Tooth and Aesthetic Clinic,https://whitenlightentac.com/,Lagos,Nigeria,Dental / aesthetic clinic,4.9 rating and 81 reviews; owned website plus Linktree and booking routes,Patient-conversion and booking-path audit,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,https://whitenlightentac.com/,,,,,,2026-07-14,Hold until first-30-day lane review,Do not pitch replacing Linktree as if no site exists; the clinic has an owned website.
deferred-scan-drafted,Deferred: CEE later expansion,MOSO AGENCY,,Warsaw,Poland,Real estate rental agency,5.0 rating and 60 reviews; no owned website found,Luxury rental lead-gen site / multilingual SEO,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,Krzysztof Bozek,Owner / real estate agent,https://www.olx.pl/d/oferta/70-m2-3-pokojowe-mieszkanie-przy-browarach-warszawskich-parkin-w-cenie-CID3-ID1bh6lB.html,,,,,,2026-07-14,Hold until first-30-day lane review,Owner identity and OLX route are supported; mini scan and bilingual draft remain useful later; review count needs a Maps recheck.
scan-drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,Nimaz Aesthetic,,Budapest,Hungary,Dental / aesthetic clinic,4.5 rating and 121 reviews; no owned website found,Aesthetic patient funnel / Google and AI visibility,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,https://budapest.cylex.hu/sz%C3%A1j%C3%A1pol%C3%A1s-24.html,,,,,,2026-07-14,Emmanuel approve or revise routing message after number and decision-maker verification,Public phone +36 20 803 7310 and address Maros utca 30; directory and award listings found; HubSpot company search returned no match; mini scan and routing message drafted; review count is user-supplied and needs a Maps recheck.
deferred-research,Deferred: West Africa later expansion,Greater Accra Regional Hospital,,Accra,Ghana,Hospital,360 reviews; no website shown in Maps result,Visibility audit with institution-size caution,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,,,,,,,,Hold until first-30-day lane review,Institution-size sales may be slow; Maps absence is not proof of no website.
drafted-awaiting-approval-test,Lane A Budapest credibility-first SMEs,Gurcan Partners Law Firm,https://gurcanpartners.com/contact-us/,Budapest,Hungary,Law firm,Main navigation spells Business Immigration as Business Imigration,Authority site / AI visibility / inbound legal leads,live website check 2026-07-14,Dr. Bedrettin Gürcan,Founding Partner,https://gurcanpartners.com/contact-us/,info@gurcanpartners.com,,,,,2026-07-14,Emmanuel approve or hold test-segment first touch,High-trust international firm; copy uses one visible navigation typo and no legal-performance claims.
drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,Loffice,https://loffice.hu/budapest/en/coworking/index.php,Budapest,Hungary,Coworking / office space,Current page still presents a COVID-era offer and a discount expired in 2024,Tenant acquisition funnel / local SEO / automation,live website check 2026-07-14,Loffice Budapest team,,https://loffice.hu/budapest/en/coworking/index.php,hello@loffice.hu,,,,,2026-07-14,Emmanuel approve first-touch email,Live page has current packages and 2026 copyright but retains the 1 HUF COVID offer and Loffice15 expiry.
deferred-until-oliviks-complete,Lane C Restaurants and hospitality,BoHo Hotel Budapest,,Budapest,Hungary,Boutique hotel,4.9 rating and 317 reviews; premium hospitality,Direct booking / AI visibility audit,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,,,,,,,,Hold until Oliviks is production-complete,User-supplied review signal; hospitality lane cannot open before Oliviks closure.
deferred-research,Deferred: West Africa later expansion,Zoom Exclusive Dental Care Lagos,,Lagos,Nigeria,Dental clinic,4.8 rating and 1117 reviews,Patient acquisition / medical-tourism SEO,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,,,,,,,,Hold until first-30-day lane review,User-supplied review signal; not yet independently verified.
deferred-research,Deferred: West Africa later expansion,Hilton Dental Clinic Lekki,,Lagos,Nigeria,Dental clinic,4.9 rating and 749 reviews,Booking funnel / SEO / trust-page restructuring,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,,,,,,,,Hold until first-30-day lane review,User-supplied review signal; not yet independently verified.
deferred-research,Deferred: CEE later expansion,LIONS ESTATE,,Warsaw,Poland,Luxury real estate,4.7 rating and 599 reviews,International buyer and renter SEO / lead funnel,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,,,,,,,,Hold until first-30-day lane review,User-supplied review signal; not yet independently verified.
deferred-research,Deferred: West Africa later expansion,Claron Health International,,Accra,Ghana,Private hospital,4.8 rating and 511 reviews,Patient trust / search visibility / service-page strategy,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,,,,,,,,Hold until first-30-day lane review,User-supplied review signal; not yet independently verified.
deferred-research,Deferred: West Africa later expansion,Haven Homes,,Lagos,Nigeria,Real estate developer,641 reviews and active development category,Project landing pages / lead capture,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,,,,,,,,Hold until first-30-day lane review,User-supplied review signal; not yet independently verified.
drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,NYOLCAS.COM Flat Management,https://www.nyolcas.com/en/property-management/,Budapest,Hungary,Property management,English landlord page says both 1400+ and 400 managed flats,Landlord funnel / local SEO,live website check 2026-07-14,Nyolcas.com team,,https://www.nyolcas.com/en/property-management/,info@nyolcas.com,,,,,2026-07-14,Emmanuel approve first-touch email,Official privacy notice confirms email and phone; user-supplied review count is not used in copy.
drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,RENTIFY.HU Property Management,https://rentify.hu/en/,Budapest,Hungary,Property management,Unsourced landlord statistics and visible English errors weaken a strong offer,Landlord and renter lead-gen system,live website check 2026-07-14,Ádám Ribarics,Managing Director,https://rentify.hu/en/terms-conditions/,hello@rentify.hu,,,,,2026-07-14,Emmanuel approve first-touch email,Official terms confirm managing director and contact route; user-supplied review count is not used in copy.
deferred-research,Deferred: CEE later expansion,Dobro Clinic,,Prague,Czechia,Medical clinic,4.9 rating and 1481 reviews,Patient acquisition / multilingual SEO,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,,,,,,,,Hold until first-30-day lane review,User-supplied review signal; not yet independently verified.
deferred-research,Deferred: CEE later expansion,Zahnarztpraxis Dr. Othman Hashem,,Vienna,Austria,Dental clinic,4.9 rating and 696 reviews,English-speaking patient funnel / AI visibility,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,,,,,,,,Hold until first-30-day lane review,User-supplied review signal; not yet independently verified.
