status,lane,company,website,city,country,sector,trigger_observation,proof_to_use,source,contact_name,contact_role,contact_url,email,first_contact_sent,follow_up_1_sent,follow_up_2_sent,linkedin_touch,mini_observation_created,next_action,notes,evidence_urls,checked_at,canonical_domain
research,Lane A Budapest credibility-first SMEs,Evergreen Dental,,Budapest,Hungary,Dental/private clinic,High-value clinic market but competitive,AI Visibility Scan,market-research-sprint-2026-06-23.md,,,,,,,,,,later lane,,,,
research,Lane A Budapest credibility-first SMEs,Dentium,,Budapest,Hungary,Dental/private clinic,High-value clinic market but competitive,AI Visibility Scan,market-research-sprint-2026-06-23.md,,,,,,,,,,later lane,,,,
drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,Denteo,https://denteo.hu/en/,Budapest,Hungary,Dental/private clinic,English homepage retains Hungarian header copy and a mismatched mental-health block,AI Visibility Scan,live website check 2026-07-14,Denteo team,,https://denteo.hu/en/,info@denteo.hu,,,,,2026-07-14,Emmanuel approve first-touch email,Copy uses translation and content-fit observations only; no medical-performance claims.,,,denteo.hu
drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,Dental Care Hungary,https://dental-care-hungary.com/,Budapest,Hungary,Dental-tourism network,Homepage scale claim is followed by three zero-value proof counters,AI Visibility Scan,live website check 2026-07-14,Dental Care Hungary team,,https://dental-care-hungary.com/,office@dental-care-hungary.com,,,,,2026-07-14,Emmanuel approve first-touch email,Live page describes 40+ clinics and thousands of patients but displays 0 counters; no medical-performance claims.,,,dental-care-hungary.com
prior-outreach-review-required,Lane B African-owned businesses in Europe,HR Time,https://hrtime.ro/,Bucharest,Romania,HR / services,Existing GEO audit candidate outside Budapest,AI Visibility Scan,reports/geo-audits/GEO-AUDIT-hrtime-ro-2026-06-12.md,,,,,,,,,2026-06-12,Verify Gmail history before any new contact,Command Center records prior Day-1 and Day-5 outreach activity; do not duplicate.,,,hrtime.ro
deferred-scan-drafted,Deferred: West Africa later expansion,Dental De Classique Clinic,,Lagos,Nigeria,Dental clinic,4.9 rating and 521 reviews; no owned website found,Patient acquisition website / local SEO / WhatsApp booking,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,https://dental-de-classique-clinic-lekki-lagos.business.site/,,,,,,2026-07-14,Hold until first-30-day lane review,Public phone +234 802 954 1267; mini scan and routing message remain useful later; review count is user-supplied and needs a Maps recheck.,,,
deferred-verified-owned-site,Deferred: West Africa later expansion,Romax Properties,https://www.romaxestate.com/,Lagos,Nigeria,Real estate developer,5.0 rating and 504 reviews; owned website exists,Investor / buyer funnel and AI visibility audit,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,https://www.romaxestate.com/,,,,,,2026-07-14,Hold until first-30-day lane review,Do not use the no-website angle; public search found the owned Romax website.,,,romaxestate.com
deferred-verified-owned-site-fragmented-booking,Deferred: West Africa later expansion,Whiten Lighten Tooth and Aesthetic Clinic,https://whitenlightentac.com/,Lagos,Nigeria,Dental / aesthetic clinic,4.9 rating and 81 reviews; owned website plus Linktree and booking routes,Patient-conversion and booking-path audit,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,https://whitenlightentac.com/,,,,,,2026-07-14,Hold until first-30-day lane review,Do not pitch replacing Linktree as if no site exists; the clinic has an owned website.,,,whitenlightentac.com
deferred-scan-drafted,Deferred: CEE later expansion,MOSO AGENCY,,Warsaw,Poland,Real estate rental agency,5.0 rating and 60 reviews; no owned website found,Luxury rental lead-gen site / multilingual SEO,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,Krzysztof Bozek,Owner / real estate agent,https://www.olx.pl/d/oferta/70-m2-3-pokojowe-mieszkanie-przy-browarach-warszawskich-parkin-w-cenie-CID3-ID1bh6lB.html,,,,,,2026-07-14,Hold until first-30-day lane review,Owner identity and OLX route are supported; mini scan and bilingual draft remain useful later; review count needs a Maps recheck.,,,
scan-drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,Nimaz Aesthetic,,Budapest,Hungary,Dental / aesthetic clinic,4.5 rating and 121 reviews; no owned website found,Aesthetic patient funnel / Google and AI visibility,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,https://budapest.cylex.hu/sz%C3%A1j%C3%A1pol%C3%A1s-24.html,,,,,,2026-07-14,Emmanuel approve or revise routing message after number and decision-maker verification,Public phone +36 20 803 7310 and address Maros utca 30; directory and award listings found; HubSpot company search returned no match; mini scan and routing message drafted; review count is user-supplied and needs a Maps recheck.,,,
deferred-research,Deferred: West Africa later expansion,Greater Accra Regional Hospital,,Accra,Ghana,Hospital,360 reviews; no website shown in Maps result,Visibility audit with institution-size caution,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,,,,,,,,Hold until first-30-day lane review,Institution-size sales may be slow; Maps absence is not proof of no website.,,,
drafted-awaiting-approval-test,Lane A Budapest credibility-first SMEs,Gurcan Partners Law Firm,https://gurcanpartners.com/contact-us/,Budapest,Hungary,Law firm,Main navigation spells Business Immigration as Business Imigration,Authority site / AI visibility / inbound legal leads,live website check 2026-07-14,Dr. Bedrettin Gürcan,Founding Partner,https://gurcanpartners.com/contact-us/,info@gurcanpartners.com,,,,,2026-07-14,Emmanuel approve or hold test-segment first touch,High-trust international firm; copy uses one visible navigation typo and no legal-performance claims.,,,gurcanpartners.com
drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,Loffice,https://loffice.hu/budapest/en/coworking/index.php,Budapest,Hungary,Coworking / office space,Current page still presents a COVID-era offer and a discount expired in 2024,Tenant acquisition funnel / local SEO / automation,live website check 2026-07-14,Loffice Budapest team,,https://loffice.hu/budapest/en/coworking/index.php,hello@loffice.hu,,,,,2026-07-14,Emmanuel approve first-touch email,Live page has current packages and 2026 copyright but retains the 1 HUF COVID offer and Loffice15 expiry.,,,loffice.hu
deferred-until-oliviks-complete,Lane C Restaurants and hospitality,BoHo Hotel Budapest,,Budapest,Hungary,Boutique hotel,4.9 rating and 317 reviews; premium hospitality,Direct booking / AI visibility audit,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,,,,,,,,Hold until Oliviks is production-complete,User-supplied review signal; hospitality lane cannot open before Oliviks closure.,,,
deferred-research,Deferred: West Africa later expansion,Zoom Exclusive Dental Care Lagos,,Lagos,Nigeria,Dental clinic,4.8 rating and 1117 reviews,Patient acquisition / medical-tourism SEO,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,,,,,,,,Hold until first-30-day lane review,User-supplied review signal; not yet independently verified.,,,
deferred-research,Deferred: West Africa later expansion,Hilton Dental Clinic Lekki,,Lagos,Nigeria,Dental clinic,4.9 rating and 749 reviews,Booking funnel / SEO / trust-page restructuring,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,,,,,,,,Hold until first-30-day lane review,User-supplied review signal; not yet independently verified.,,,
deferred-research,Deferred: CEE later expansion,LIONS ESTATE,,Warsaw,Poland,Luxury real estate,4.7 rating and 599 reviews,International buyer and renter SEO / lead funnel,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,,,,,,,,Hold until first-30-day lane review,User-supplied review signal; not yet independently verified.,,,
deferred-research,Deferred: West Africa later expansion,Claron Health International,,Accra,Ghana,Private hospital,4.8 rating and 511 reviews,Patient trust / search visibility / service-page strategy,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,,,,,,,,Hold until first-30-day lane review,User-supplied review signal; not yet independently verified.,,,
deferred-research,Deferred: West Africa later expansion,Haven Homes,,Lagos,Nigeria,Real estate developer,641 reviews and active development category,Project landing pages / lead capture,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,,,,,,,,Hold until first-30-day lane review,User-supplied review signal; not yet independently verified.,,,
drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,NYOLCAS.COM Flat Management,https://www.nyolcas.com/en/property-management/,Budapest,Hungary,Property management,English landlord page says both 1400+ and 400 managed flats,Landlord funnel / local SEO,live website check 2026-07-14,Nyolcas.com team,,https://www.nyolcas.com/en/property-management/,info@nyolcas.com,,,,,2026-07-14,Emmanuel approve first-touch email,Official privacy notice confirms email and phone; user-supplied review count is not used in copy.,,,nyolcas.com
drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,RENTIFY.HU Property Management,https://rentify.hu/en/,Budapest,Hungary,Property management,Unsourced landlord statistics and visible English errors weaken a strong offer,Landlord and renter lead-gen system,live website check 2026-07-14,Ádám Ribarics,Managing Director,https://rentify.hu/en/terms-conditions/,hello@rentify.hu,,,,,2026-07-14,Emmanuel approve first-touch email,Official terms confirm managing director and contact route; user-supplied review count is not used in copy.,,,rentify.hu
deferred-research,Deferred: CEE later expansion,Dobro Clinic,,Prague,Czechia,Medical clinic,4.9 rating and 1481 reviews,Patient acquisition / multilingual SEO,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,,,,,,,,Hold until first-30-day lane review,User-supplied review signal; not yet independently verified.,,,
deferred-research,Deferred: CEE later expansion,Zahnarztpraxis Dr. Othman Hashem,,Vienna,Austria,Dental clinic,4.9 rating and 696 reviews,English-speaking patient funnel / AI visibility,Emmanuel expanded search via Composio and ChatGPT 2026-07-14,,,,,,,,,,Hold until first-30-day lane review,User-supplied review signal; not yet independently verified.,,,
research,Lane A Budapest credibility-first SMEs,Homerun,https://issbudapest.hu/,Budapest,Hungary,Property management,,,BridgeWorks Prospect Tracker - Live,,,,,,,,,,Reverify the current commercial gap and exact decision-maker route before drafting.,,https://issbudapest.hu/ | https://docs.google.com/spreadsheets/d/1yvtW-FtuJHJo5OJMvuxaLMZajUEjEGanaBHNQ3oMuIE/edit,2026-07-25,issbudapest.hu
sent-no-reply,Lane A Budapest credibility-first SMEs,Pyramidon,https://pyramidon.hu/en/,Budapest,Hungary,Property management,,,BridgeWorks Prospect Tracker - Live,,,,,2026-05-17,2026-05-19,,,,Hold further outreach. Check reply state and require a new exact approval before any recontact.,Gmail message 19e3552c6819408f sent 2026-05-17 | Gmail message 19e407582c757eff sent 2026-05-19,https://pyramidon.hu/en/ | https://docs.google.com/spreadsheets/d/1yvtW-FtuJHJo5OJMvuxaLMZajUEjEGanaBHNQ3oMuIE/edit,2026-07-25,pyramidon.hu
research,Lane A Budapest credibility-first SMEs,Go2Flats,https://www.go2flats.com/,Budapest,Hungary,Property management,,,BridgeWorks Prospect Tracker - Live,,,,,,,,,,Reverify the current commercial gap and exact decision-maker route before drafting.,,https://www.go2flats.com/ | https://docs.google.com/spreadsheets/d/1yvtW-FtuJHJo5OJMvuxaLMZajUEjEGanaBHNQ3oMuIE/edit,2026-07-25,go2flats.com
sent-no-reply,Lane A Budapest credibility-first SMEs,Geiger Services,https://www.geigerservices.hu/en,Budapest,Hungary,Office cleaning,,,BridgeWorks Prospect Tracker - Live,Geiger Ádám,Owner / managing director,,info@geigerservices.hu,2026-05-17,2026-07-19,,,,Hold further outreach. Check reply state and require a new exact approval before any recontact.,Gmail message 19e3552ea734eb1a sent 2026-05-17 | Gmail message 19f7aecfb7e64745 sent 2026-07-19,https://www.geigerservices.hu/en | https://docs.google.com/spreadsheets/d/1yvtW-FtuJHJo5OJMvuxaLMZajUEjEGanaBHNQ3oMuIE/edit,2026-07-25,geigerservices.hu
research,Lane A Budapest credibility-first SMEs,Kavezo Kft,https://kavezokft.hu/en/,Budapest,Hungary,Office cleaning,,,BridgeWorks Prospect Tracker - Live,,,,kavezo2007kft@gmail.com,,,,,,Reverify the current commercial gap and exact decision-maker route before drafting.,,https://kavezokft.hu/en/ | https://docs.google.com/spreadsheets/d/1yvtW-FtuJHJo5OJMvuxaLMZajUEjEGanaBHNQ3oMuIE/edit,2026-07-25,kavezokft.hu
research,Lane A Budapest credibility-first SMEs,TakaritokEU,https://www.takaritok.eu/,Budapest,Hungary,Cleaning company,,,BridgeWorks Prospect Tracker - Live,,,,,,,,,,Reverify the current commercial gap and exact decision-maker route before drafting.,,https://www.takaritok.eu/ | https://docs.google.com/spreadsheets/d/1yvtW-FtuJHJo5OJMvuxaLMZajUEjEGanaBHNQ3oMuIE/edit,2026-07-25,takaritok.eu
research,Lane A Budapest credibility-first SMEs,CsikyGroup,https://csikygroup.hu/,Budapest,Hungary,Cleaning company,,,BridgeWorks Prospect Tracker - Live,,,,,,,,,,Reverify the current commercial gap and exact decision-maker route before drafting.,,https://csikygroup.hu/ | https://docs.google.com/spreadsheets/d/1yvtW-FtuJHJo5OJMvuxaLMZajUEjEGanaBHNQ3oMuIE/edit,2026-07-25,csikygroup.hu
research,Lane A Budapest credibility-first SMEs,Nevoxa,https://www.nevoxa.hu/,Budapest,Hungary,Cleaning company,,,BridgeWorks Prospect Tracker - Live,,,,,,,,,,Reverify the current commercial gap and exact decision-maker route before drafting.,,https://www.nevoxa.hu/ | https://docs.google.com/spreadsheets/d/1yvtW-FtuJHJo5OJMvuxaLMZajUEjEGanaBHNQ3oMuIE/edit,2026-07-25,nevoxa.hu
research,Lane A Budapest credibility-first SMEs,Budbed,https://budbed.hu/en/,Budapest,Hungary,Property management,,,BridgeWorks Prospect Tracker - Live,,,,,,,,,,Reverify the current commercial gap and exact decision-maker route before drafting.,,https://budbed.hu/en/ | https://docs.google.com/spreadsheets/d/1yvtW-FtuJHJo5OJMvuxaLMZajUEjEGanaBHNQ3oMuIE/edit,2026-07-25,budbed.hu
research,Lane A Budapest credibility-first SMEs,Easy Office Clean,https://easyofficeclean.hu/,Budapest,Hungary,Office cleaning,,,BridgeWorks Prospect Tracker - Live,,,,,,,,,,Reverify the current commercial gap and exact decision-maker route before drafting.,,https://easyofficeclean.hu/ | https://docs.google.com/spreadsheets/d/1yvtW-FtuJHJo5OJMvuxaLMZajUEjEGanaBHNQ3oMuIE/edit,2026-07-25,easyofficeclean.hu
research,Lane D Nigeria growth businesses,Eliezer Facility Management Company Lagos,https://eliezergroup.com/,Lagos,Nigeria,Facility management,,,BridgeWorks Prospect Tracker - Live,,,,hrm@eliezergroup.com,,,,,,Verify a commercial decision-maker route before using the public HR address.,,https://eliezergroup.com/ | https://docs.google.com/spreadsheets/d/1yvtW-FtuJHJo5OJMvuxaLMZajUEjEGanaBHNQ3oMuIE/edit,2026-07-25,eliezergroup.com
research,Lane D Nigeria growth businesses,Max-Migold Facilities Management Company,http://www.maxmigold.com/,Lagos,Nigeria,Facility management,,,BridgeWorks Prospect Tracker - Live,Faith Ekiyoyo,Head of Corporate Services,,faith.ekiyoyo@maxmigold.com,,,,,,Reverify the current commercial gap and contact role before drafting.,,http://www.maxmigold.com/ | https://docs.google.com/spreadsheets/d/1yvtW-FtuJHJo5OJMvuxaLMZajUEjEGanaBHNQ3oMuIE/edit,2026-07-25,maxmigold.com
research,Lane D Nigeria growth businesses,Palmacedar Cleaning Services,https://palmacedarcleaning.com.ng/,Lagos,Nigeria,Commercial cleaning,,,BridgeWorks Prospect Tracker - Live,Omolola Julius,Client Relationship Manager,,omolola.julius@palmacedarcleaning.com.ng,,,,,,Reverify the current commercial gap and contact role before drafting.,,https://palmacedarcleaning.com.ng/ | https://docs.google.com/spreadsheets/d/1yvtW-FtuJHJo5OJMvuxaLMZajUEjEGanaBHNQ3oMuIE/edit,2026-07-25,palmacedarcleaning.com.ng
research,Lane D Nigeria growth businesses,3D Janitorial Services,https://www.3djanitorial.com/,Lagos,Nigeria,Commercial cleaning,,,BridgeWorks Prospect Tracker - Live,,,,info@3djanitorial.com,,,,,,Reverify the current commercial gap and exact decision-maker route before drafting.,,https://www.3djanitorial.com/ | https://docs.google.com/spreadsheets/d/1yvtW-FtuJHJo5OJMvuxaLMZajUEjEGanaBHNQ3oMuIE/edit,2026-07-25,3djanitorial.com
research,Lane D Nigeria growth businesses,Marvel Homes Property Management,http://www.marvelhomespm.com/,Lagos,Nigeria,Property management,,,BridgeWorks Prospect Tracker - Live,,,,info@marvelhomespm.com,,,,,,Reverify the current commercial gap and exact decision-maker route before drafting.,,http://www.marvelhomespm.com/ | https://docs.google.com/spreadsheets/d/1yvtW-FtuJHJo5OJMvuxaLMZajUEjEGanaBHNQ3oMuIE/edit,2026-07-25,marvelhomespm.com
research,Lane A Budapest credibility-first SMEs,Ready Clean,https://www.readyclean.hu/en,Budapest,Hungary,Cleaning services,"Owned English page presents Budapest cleaning services, quote route, references/testimonials, phone, and public email; research should verify whether a current buyer-route or trust gap exists before any copy is prepared.",BridgeWorks B2B credibility and enquiry-route review only if a specific sourced gap is established.,Current owned website discovered via public web search on 2026-07-28; exact domain/email HubSpot and Gmail duplicate checks returned no matches.,,,,info@readyclean.hu,,,,,,"Research owned-domain quote path, proof specificity, responsible recipient, and duplicate-contact risk; hold if no concrete commercial gap is verified.","Public source lists Nagymezo utca 60, Budapest, phone +36 70 360 1209, info@readyclean.hu, and quote form.",https://www.readyclean.hu/en,2026-07-28,readyclean.hu
research,Lane A Budapest credibility-first SMEs,New Solution Service Kft,https://www.nsskft.hu/en/irodatakaritas,Budapest,Hungary,Office cleaning,"English office-cleaning page has a quote form, Budapest/Pest County positioning, and visible Hungarian form/legal labels inside the English buyer journey.",BridgeWorks English buyer-route and credibility QA review.,Current owned English office-cleaning page discovered via public web search on 2026-07-28; exact domain/email HubSpot and Gmail duplicate checks returned no matches.,,,,arajanlat@nsskft.hu,,,,,,"Verify quote route, current contact destination, and whether mixed-language form labels create a sourced conversion gap.","Public source lists New Solution Service Ltd., 1097 Budapest, Ecseri Street 14-16, phone +36 30 2828329, arajanlat@nsskft.hu, and newsolutionservicekft@gmail.com.",https://www.nsskft.hu/en/irodatakaritas,2026-07-28,nsskft.hu
research,Lane A Budapest credibility-first SMEs,Alpha Guards Security Ltd,https://en.alphaguards.hu/cleaning,Budapest,Hungary,Security and cleaning services,"English cleaning page exposes a service request route and public email, while the header displays the email in obfuscated text before the readable footer route.",BridgeWorks enquiry-route clarity review.,Current owned English cleaning page discovered via public web search on 2026-07-28; exact domain/email HubSpot and Gmail duplicate checks returned no matches.,,,,ags.iroda@gmail.com,,,,,,Verify whether the enquiry form and contact route are current and whether email obfuscation affects the English buyer journey.,"Public source lists Alpha Guards Security Ltd., 1043 Budapest, Csanyi Laszlo u. 34, phone +36 1 700 3270, and ags.iroda@gmail.com.",https://en.alphaguards.hu/cleaning,2026-07-28,en.alphaguards.hu
research,Lane A Budapest credibility-first SMEs,Avenir Facility Management Kft,https://www.afm.hu/hu,Budapest,Hungary,Facility management and security services,"Owned page presents security, audit, soft FM, hard FM, references, active locations, certifications, quote form, and public email; research should test whether a concrete commercial gap exists.",BridgeWorks B2B credibility and service-route review only if a current gap is verified.,Current owned website discovered via public web search on 2026-07-28; exact domain/email HubSpot and Gmail duplicate checks returned no matches.,,,,info@afm.hu,,,,,,"Research multilingual route, named leadership, quote destination, and whether any buyer-facing inconsistency is evidence-backed.","Public source lists Avenir Facility Management Kft., 1039 Budapest, Kiralyok utja 291, phone +36 70 316 8218, info@afm.hu.",https://www.afm.hu/hu,2026-07-28,afm.hu
