relative_path,bytes,sha256,classification,target,disposition,provenance_rule
offers/PAID-AI-READINESS-DIAGNOSTIC-OUTLINE-2026-07-15.md,12768,dcda7ccad8704135eb75a11c11588bc88f3a26af48b3d2c2a33a85dbbcfd41d6,diagnostic selection,opportunities,IMPORT_RECONCILED,"preserve source path, SHA-256, source URL/date fields, and original status"
ORCHESTRATOR-RUNBOOK-2026-07-16.md,9167,1e41f4dcb0dccb81f46ec36cddfc0cb05360af29e9a6de9370cb768a7bbd3e2e,automation/scheduling,control,SUPERSEDED_AFTER_MIGRATION,"preserve source path, SHA-256, source URL/date fields, and original status"
orchestrator-schedule.json,2961,3a70dbb3f99bfbebe8421cdd118c60d4ac17f7c3fddb8774a80f9d3a59ab457c,automation/scheduling,control,SUPERSEDED_AFTER_MIGRATION,"preserve source path, SHA-256, source URL/date fields, and original status"
output/pdf/BridgeWorks-CEEFM-Case-Study-2026-DRAFT.pdf,90958,64b8ba2650646fb565ff9e51672fff7915400eeb33a9817cc628bff2a6049dca,generated/transient output,learning,REGENERATE_DERIVATIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
output/pdf/BridgeWorks-Small-Business-AI-Visibility-Report-2026-DRAFT.pdf,116189,0e50225091f8c8a7cf73a793c8a599dd9564071115e992e35343611c6947afed,generated/transient output,learning,REGENERATE_DERIVATIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
output/social/week-01/BridgeWorks-LinkedIn-AI-Visibility-Report-2026-REVIEW.png,113086,397d96bdefb1236f5907759cdb13afd93beec80bce355c893315ac4f3e2fb393,generated/transient output,learning,REGENERATE_DERIVATIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
output/social/week-01/BridgeWorks-LinkedIn-CEEFM-16-to-77-REVIEW.png,92103,5b438906da31cea4dbbc0bcbb6a3362755074d7f60f76cc110995544931a2b2b,generated/transient output,learning,REGENERATE_DERIVATIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
outputs/019fbc62-d3a4-77a3-845e-8b0b145befb7/BridgeWorks-Market-Money-Discourse-Radar-2026-08-01.xlsx,29983,d8f717aef9494a181e74b071bc43c223dc5df2d04fa9349061243d14ac9b9d59,generated/transient output,learning,REGENERATE_DERIVATIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
outputs/019fbc62-d3a4-77a3-845e-8b0b145befb7/BridgeWorks-Market-Money-Discourse-Radar-2026-08-01.xlsx.inspect.ndjson,331498,6df5385b4e82c67986728a5489a9e32ecea85fed3a199136f03fd39e52a40c30,generated/transient output,learning,REGENERATE_DERIVATIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
outputs/019fbc62-d3a4-77a3-845e-8b0b145befb7/build/build_market_radar.mjs,36731,956b6a03df9612b55797c3a586b391e83cd4b617cb1e309509157c5404f181fd,generated/transient output,adapters,REGENERATE_DERIVATIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
outputs/019fbc62-d3a4-77a3-845e-8b0b145befb7/build/previews/dashboard.png,149021,8b09ee1069ca738bd6dac7197794eb19c23d54b50bde4b81629b48f3e7ddabe2,generated/transient output,learning,REGENERATE_DERIVATIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
outputs/019fbc62-d3a4-77a3-845e-8b0b145befb7/build/previews/discourse.png,193627,e130b06de2cde945bd53b07d4b72bf4ce936d67224ffa8560ae0083d7df0e399,generated/transient output,learning,REGENERATE_DERIVATIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
outputs/019fbc62-d3a4-77a3-845e-8b0b145befb7/build/previews/market-radar.png,171981,c037befa98da710a5b4ba8507ae2982108b1c37c96a80e121e1c87a809bdfa19,generated/transient output,learning,REGENERATE_DERIVATIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
outputs/019fbc62-d3a4-77a3-845e-8b0b145befb7/build/previews/money-signals.png,278421,370ccee297971b8ba60c5e5a096d7c158e40e33483064945bfdc10aacf893f41,generated/transient output,learning,REGENERATE_DERIVATIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
outputs/019fbc62-d3a4-77a3-845e-8b0b145befb7/build/previews/settings.png,57700,232c5284cfd1a1258c844e0b4a850d09b72ba4b4d71ce7c471a523fc7eb22e2b,generated/transient output,learning,REGENERATE_DERIVATIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
outputs/019fbc62-d3a4-77a3-845e-8b0b145befb7/build/previews/source-register.png,205994,066bdb2ad6313cf761647836907d3312e31111293bfeec829ad914d0f36625f3,generated/transient output,learning,REGENERATE_DERIVATIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
outputs/019fbc62-d3a4-77a3-845e-8b0b145befb7/build/previews/trigger-playbook.png,146803,11612022fa6635a0279b92827c40759257f2ff897897ebf8b539bcf0129ea358,generated/transient output,learning,REGENERATE_DERIVATIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
OUTREACH-QUEUE-REASSESSMENT-2026-08-02.md,6881,1a709976cfd14b3d79ace4d16bea697c3a62108e3ede44dc6a246628af4e3cdb,reporting,learning,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
PROSPECT-FRAMEWORK-RECONCILIATION-2026-08-02.md,3266,20dfb9a2f2282d83a66989f57ed02b69f4c4069b4a81f648725f2a989f9ad469,market/ICP logic,acquisition,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
PROSPECTING-CAPABILITY-ORCHESTRATION-AUDIT-2026-08-01.md,33995,c927783b187a145bdf0bfe1d168189fe8e5abffcf4aab4f114fb35b71f042b00,routing,opportunities,SUPERSEDED_AFTER_MIGRATION,"preserve source path, SHA-256, source URL/date fields, and original status"
PROSPECTING-OUTREACH-OPERATING-SYSTEM-2026-07-26.md,12670,a0fce09f2dabbf0190f2d632b9377fa7bd5b61954e50225f68242f010439104c,market/ICP logic,acquisition,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
public-proof/AI-VISIBILITY-REPORT-PUBLIC-ANONYMIZED-2026.md,26940,55d19f5df062306a9c7375859f7d088b2f50fb832b9e5cb959a79e10c41316ba,proof inventory,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
public-proof/ANONYMIZATION-STANDARD-2026-07-16.md,1504,e365e907797fb04d32ccb3cb080980653e7f32f91326c2b761a05d2b9bd7b7d6,proof inventory,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
public-proof/CASE-STUDY-CENTRAL-EUROPEAN-B2B-SERVICES-2026.md,5798,4fbc217dbaeb84ae4435b64f72c098a95f95054b6d17374ecd67f6b58fae55d7,proof inventory,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
public-proof/output/BridgeWorks-AI-Visibility-Report-2026-PUBLIC-ANONYMIZED.pdf,115155,426ed8a52b8925da2e14ebba6497cf954cefb27a61a4622ac7fa1ad34553948f,generated/transient output,learning,REGENERATE_DERIVATIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
public-proof/output/BridgeWorks-Anonymized-B2B-Services-Case-Study-2026.pdf,90907,217fe9a55f3fee0a32eb8496f1e1f7693f2ade29a777d25918e6deb4aff96dc4,generated/transient output,learning,REGENERATE_DERIVATIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
public-proof/output/BridgeWorks-Anonymized-B2B-Services-Case-Study-2026.png,255332,35f67bba157474412453439e7efc179b3890216e9c933ad1a969f2833d4c075f,generated/transient output,learning,REGENERATE_DERIVATIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
public-proof/PROOF-MODULES-ANONYMIZED-2026.md,3613,8fc86f666029c065f38e7aed245c9ba1ef5948b60fe832bf9273bb63f9bf83d9,proof inventory,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
public-proof/PUBLICATION-PACKET-ANONYMIZED-2026-07-16.md,2165,7a11bceb231ace2ab91b159370b8bc41228ad214357db0dbed33fd1283ca6b63,proof inventory,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
public-proof/README.md,1356,882a17e14ce9a3f8ba40f46be19600140c25f9a1ecbbbc61c926f0a4d003f8ac,proof inventory,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
README.md,11274,c92bc7b7b0e8062fca638f66e03d4ae514a3685373de25326c3fbc83f62cb0b4,reporting,learning,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/ai-visibility-evidence-dataset-2026-07-14.csv,3858,77e07345a819706801553312a04b59327e7832fae26ba935fee2dc9f03d74ef2,research evidence,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/AI-VISIBILITY-METHODOLOGY-V1-2026-07-14.md,7928,c78a6938174d7690cb19be9191a8794ce6411e997d7713cd72e9cc692b38529a,research evidence,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/BRIDGEWORKS-WEBSITE-SOURCE-MAP-2026-07-14.md,6884,2a93c5c92f71d98a5ca8b31b6defd04ac9826bdca38f99aa14844f5a6d646178,research evidence,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/LANE-A-OBSERVATION-BANK-2026-07-14.md,7025,7ec683fcc5ddd19599c784442e9699c47b1a16e39ce84a23372e5d35843c3074,research evidence,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/batches/2026-07-23-batch-01.json,7101,b94defc5b701538f3d1ff3d491680497d1ff7f34f5f05c8ba0cf16a38346d304,historical artifact,learning,LEARNING_ARCHIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/batches/2026-07-23-batch-01.md,5434,656dedf6d2a5aebf4ddfe729bef7d5ae68a072cd6455dbd1ade294ad1602e565,historical artifact,learning,LEARNING_ARCHIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/batches/2026-07-24-batch-01.json,2830,b721c2da479133df9f8c7f39a82488b13edd7c719b1ab9296abf1b3318495741,historical artifact,learning,LEARNING_ARCHIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/batches/2026-07-24-batch-01.md,2028,e2379c15a8872289a3d94ab6e2526466c14746b3580521a0a18c80ad63fb2523,historical artifact,learning,LEARNING_ARCHIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/batches/2026-07-26-batch-01.json,7813,4bdd306eab02def2b0e6fa98d1e667cc0c2458d9c637d32e22abfe9235b6c710,historical artifact,learning,LEARNING_ARCHIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/batches/2026-07-26-batch-01.md,6295,e86b8502eb650daa5703d665622ed99a3d608c4d29ff65b695c9d981d0e9d13c,historical artifact,learning,LEARNING_ARCHIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/batches/2026-07-27-batch-01.json,11931,f5f2a3b6acb3e706fa8184ec8bf058d6072433dec843aa898cc5776361ca9a83,historical artifact,learning,LEARNING_ARCHIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/batches/2026-07-27-batch-01.md,9578,052162bfa16ae8a7a2f328d20b2d1360b0af3c23187398a33f2113dc197ee889,historical artifact,learning,LEARNING_ARCHIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/batches/2026-07-28-batch-01.json,15566,87127e3cde08ec8f37251daeb3fe4d6e16b27d020aab5a791e9cfc3f85af039b,historical artifact,learning,LEARNING_ARCHIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/batches/2026-07-28-batch-01.md,11982,312edfde84d155463066840ded2fa4ec8ff6beed01cfdbadcf79ba3755ecb6a6,historical artifact,learning,LEARNING_ARCHIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/batches/2026-07-31-batch-01.json,17672,15e72ef3eaa56a6e05ef0e19895a2af3f3b9437ad8633b06e2d75dd0dc94a4d6,historical artifact,learning,LEARNING_ARCHIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/batches/2026-07-31-batch-01.md,13694,717b4291ef763e1e1aa28c23d89d17ec54d6c0f47008b7ee305a73db2abd510f,historical artifact,learning,LEARNING_ARCHIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/batches/2026-08-01-batch-01.json,11996,3f110f679e083b6e971805a1e528e4140512e2b9682b616e962a037726912c7e,historical artifact,learning,LEARNING_ARCHIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/batches/2026-08-01-batch-01.md,9448,8cf8b1991e8bc33bf2b65498216cb00d8905778cae6a217e47290a68c08267f8,historical artifact,learning,LEARNING_ARCHIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/batches/2026-08-03-batch-01.json,7699,2e750ef6b1cb855182989021fd1bfe7dd1746e6c1b4e0cf5e96bf153979ae6f5,historical artifact,learning,LEARNING_ARCHIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/batches/2026-08-03-batch-01.md,5998,235edbf713a81d5e210d1a7eeac7744b40b5be528a7ec9745e0d048ca069f5dd,historical artifact,learning,LEARNING_ARCHIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/batches/2026-08-05-batch-01.json,17461,7a37aa815cd1e6d7b0606b9f9b81c25332dcb75b9a4f46da658541b06b79613d,historical artifact,learning,LEARNING_ARCHIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/batches/2026-08-05-batch-01.md,13690,ea7601bb8df5a51acd91b0c860454dd120312507a41828467ae6ecf11970e6fc,historical artifact,learning,LEARNING_ARCHIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/imports/2026-07-25-drive-live-tracker-candidates.json,9411,94d0cf2691e92a3b26c71111430f77680bf0b05431acca1a10bab803c6c10d50,trigger discovery,acquisition,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/imports/2026-07-28-discovery-refill.json,10253,bb38126a58e3c9f94b057545c10f0c49681e35fc87bc3f2bcba1f9770c7226be,trigger discovery,acquisition,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/imports/2026-07-30-discovery-refill.json,12490,f76b635be3204b25937035c0a37b67e3090781bc2ab8779a3272244d2280379b,trigger discovery,acquisition,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/imports/2026-08-02-framework-refill.json,15011,a358f54bd1e42cb771892716936375a00eed0f3364275e4807957f3a389f9fd0,trigger discovery,acquisition,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/imports/2026-08-04-discovery-refill.json,12382,007005d626e722b3a985e8c1b24007c10649559a60b9493b0cb1320a387b2734,trigger discovery,acquisition,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/imports/2026-08-10-discovery-refill.json,13043,5e2ec34ca12a608aa6c8cf2fed7c9b9f0f2489e1442ed3bffe72166ed47f44ed,trigger discovery,acquisition,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/live-source-snapshot-2026-07-26.json,5419,663bc9295df5b3f8ea1c54578403412727d10203b741e66544c11db58e35e352,historical artifact,learning,LEARNING_ARCHIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/operating-output/budbed-three-fixes-response-pack-2026-07-30.md,2746,65c6f980ca786f0ffcc452fa4aca0d909bef74e0eee1177f7fe2881d8222c20d,outreach preparation,opportunities,SUPERSEDED_AFTER_MIGRATION,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/operating-output/build-manifest.json,1552,08669c50e22815165593fc01e90876cd45122d829d5f40b441af114762b34137,reporting,learning,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/operating-output/campaign-ready-batch.csv,14533,b2e606ffc5bf3a839fdb58139ee5caad532a26c844af4fc7ee30c82efd022b60,outreach preparation,opportunities,SUPERSEDED_AFTER_MIGRATION,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/operating-output/canonical-prospect-register.csv,31828,fb048a66053622fdea54f9fad9f64663330fcbeb93b96fa18622a451f2e1d8c8,canonical prospect data,acquisition,IMPORT_RECONCILED,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/operating-output/firstclean-three-fixes-response-pack-2026-07-27.md,3572,f70d7434ad609f310439bef064409713220088d7242f8433854aef795efeaf95,outreach preparation,opportunities,SUPERSEDED_AFTER_MIGRATION,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/operating-output/homever-three-fixes-response-pack-2026-07-27.md,3520,a1bef08e11f9b37118bd497733778f59fa8a73413af542817fbd5687d8f9153a,outreach preparation,opportunities,SUPERSEDED_AFTER_MIGRATION,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/operating-output/hubspot-companies-import-preview.csv,3341,5bdaa32cde24366b5f347773c4f313562e1a2619e00c3a7e774b6fdb3424a2cd,outreach preparation,opportunities,SUPERSEDED_AFTER_MIGRATION,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/operating-output/hubspot-contacts-import-preview.csv,1360,34198f52ff2cf18adcdc63564cdae6e5acdbf1e06b4c5fd6e3c6d77a4c86e006,outreach preparation,opportunities,SUPERSEDED_AFTER_MIGRATION,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/operating-output/immediate-existing-prospect-batch-2026-07-26.md,33024,5e41a25c3b1e7997c31dddd41ee64edb21588a7885412dfbd15c87658861168a,outreach preparation,opportunities,SUPERSEDED_AFTER_MIGRATION,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/operating-output/loffice-three-fixes-response-pack-2026-07-30.md,2698,0d0c1510970fbd5ef8dfe8960c23e9257c1d7cc3563c043e85ca1a1e84073964,outreach preparation,opportunities,SUPERSEDED_AFTER_MIGRATION,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/operating-output/premier-three-fixes-response-pack-2026-07-26.md,3835,d69a07cbf19d70b76b3d8f6902e65b55dfed10e2f5639cd2312f0592ea11d4c8,outreach preparation,opportunities,SUPERSEDED_AFTER_MIGRATION,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/operating-output/README.md,1019,15fc024ab1eb7ef5d8505c20c6e7460d5b201ea9d6fbcc2ece50be5425ceae30,reporting,learning,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/operating-output/rentify-three-fixes-response-pack-2026-07-26.md,4116,5c97476269ea3340a7ec3430e3c4137369f8228e154c11f06ed09dc27a89f405,outreach preparation,opportunities,SUPERSEDED_AFTER_MIGRATION,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/operating-output/weekly-conversion-report.md,1161,dde330acc2110224f529366856e189867d0f70d4bdd70c964975a7deec6fdbae,reporting,learning,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/prospect-research-events.jsonl,10501,0cbb35bc6f12249d9591cfbb5cbc9ff2a0659c79ba4371fd0a15cda74f175a24,automation/scheduling,control,SUPERSEDED_AFTER_MIGRATION,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/prospect-research-state.json,29162,ec760b2e848c93a771101f72b11d683eb958008d2fdb2454049688f6494607e8,canonical prospect data,control,IMPORT_RECONCILED,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/prospect-source-current.csv,75131,a1754e31ec10c095cabe2be39ed5b1415aa38929569551b51fcca6d7d182ccf9,canonical prospect data,acquisition,IMPORT_RECONCILED,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/README.md,3822,04501f0af736c423ed8b8be67a0ee1d4017dbac47416db0d1638aac5b0b1c171,automation/scheduling,control,SUPERSEDED_AFTER_MIGRATION,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/results/2026-07-23-batch-01-results.json,11785,cb76f991565a319545c11cd0967145e98ba75834e06ead22a7fd39c869990fb1,research evidence,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/results/2026-07-24-batch-01-results.json,3651,db800e3dcd1e9cbdeee94b2143f0f4946b38a8d3506c0516b593cf59646dde62,research evidence,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/results/2026-07-27-batch-01-results.json,24838,e9320663a3d4d04bcea84311c129148763979240a9debe57314418c8fc66e3fe,research evidence,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/results/2026-07-28-batch-01-results.json,24287,d0f4343f85d3282e83b2f44cc4502fd94f187820560ac5d812b97aa06cdf8d75,research evidence,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/results/2026-07-31-batch-01-results.json,22980,cba0cc66833ea49d55824c56e2cc29c2e4ef1258f9cad19a35fdd48a803d2013,research evidence,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/results/2026-08-03-batch-01-results.json,13246,a1c26146437d0113ed7619c149f64ead117ceccc6d57cda9439837f35f125c0a,research evidence,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/results/2026-08-05-batch-01-results.json,27839,c47d33aefa9ec3fa332e704fe818227f4176a7ad0dbe20d24b36a87b840648d3,research evidence,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/review/packets/2026-07-23-batch-01-approval-review.md,9077,5b3cf2cbafe98ba9cd5ae4826b0a73eaf16c3c5a85c17e0e340331118643b8ac,approval packet,approvals,IMPORT_RECONCILED,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/review/packets/2026-07-24-batch-01-approval-review.md,2977,d106adc0468fb68171e89996a400789477cf2722956c569c7660dfa88dec919c,approval packet,approvals,IMPORT_RECONCILED,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/review/packets/2026-07-27-batch-01-approval-review.md,16308,3737952f44a73eea5183a299ec268c476b6bf6b87a6c96f32c71f29c910b51a5,approval packet,approvals,IMPORT_RECONCILED,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/review/packets/2026-07-28-batch-01-approval-review.md,16625,4b4fb22d8ff1422c1cc6cc4dc31ce132e6bd67dac0d4bc42845b45ee671d3b48,approval packet,approvals,IMPORT_RECONCILED,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/review/packets/2026-07-31-batch-01-approval-review.md,16570,aff44c85b1d77e2d7fb8e3090cae713e20d74c79e9e0a2a42f7455609a487c61,approval packet,approvals,IMPORT_RECONCILED,"preserve source path, SHA-256, source URL/date fields, and original status"
research/prospect-operations/review/packets/2026-08-03-batch-01-approval-review.md,8990,619a45379baa8d12f6e1ed48d05f45871c81d35b9a921053d75d7c05af33af21,approval packet,approvals,IMPORT_RECONCILED,"preserve source path, SHA-256, source URL/date fields, and original status"
