account_id,priority,service_route,outcome_label,company,country,sector,website,buyer_role,public_contact,observable_signal,discovery_hypothesis,diagnostic_entry,source_state,next_internal_action,outreach_authority
BW-SL-011,B,Content Visibility & Demand,Demand,Dental De Classique Clinic,Nigeria,Dental clinic,,Clinic Owner/Commercial Lead,,"Strong public review signal but no owned website was located in the prior scan","A strong reputation may not yet translate into owned authority and a controlled international-patient journey","Authority and Demand Gap Scan",deferred scan,"Reverify owned-domain status and current buyer route before promotion",research
BW-SL-012,A,Content Visibility & Demand,Demand,Nimaz Aesthetic,Hungary,Dental and aesthetic clinic,,Clinic Owner/Manager,,"Public review demand signal with no owned website located in the prior scan","Existing reputation may be dependent on third-party discovery rather than owned authority","Authority and Demand Gap Scan",scan drafted awaiting approval,"Verify number, buyer identity, owned-domain status, and routing",draft-only
BW-SL-013,B,Content Visibility & Demand,Demand,MOSO AGENCY,Poland,Real estate rental agency,,Owner,,"Strong public review signal and no owned website found in the prior scan","Referral and platform reputation may not translate into an owned buyer journey","Authority and Demand Gap Scan",deferred scan,"Reverify owned site and expansion priority before any approach",research
BW-SL-014,A,Content Visibility & Demand,Demand,Loffice,Hungary,Coworking and office space,https://loffice.hu/budapest/en/coworking/index.php,Commercial/Marketing Lead,hello@loffice.hu,"Current page presented a COVID-era offer and a discount expired in 2024","Outdated public content may weaken demand capture for current workspace buyers","Authority and Demand Gap Scan",drafted awaiting approval,"Reverify current content and exact owner",draft-only
BW-SL-015,A,Content Visibility & Demand,Demand,Lagos Logistics,Nigeria,Logistics services,https://lagoslogistics.com.ng/about/,Commercial/Marketing Lead,order@lagoslogistics.com.ng,"Zero-value proof counters and repeated 2023 copyright were verified on 2026-07-31","Current credibility content may not fully convert active booking demand","Authority and Demand Gap Scan",awaiting mobile approval,"Preserve exact approval item; add content-system angle only after interest",draft-only
BW-SL-016,A,AI & Workflow Automation,Leverage,ServicePilot Nigeria,Nigeria,Facility and home services,https://www.servicepilot.ng/,Operations/Commercial Lead,admin@servicepilot.ng,"Broad service categories, booking routes, duplicated testimonials, and two public email routes","Use the public routing complexity only to ask how enquiries are qualified, assigned, and followed up","Workflow Friction Map",awaiting mobile approval,"Preserve credibility-route approval item; diagnose workflow only after response",draft-only
BW-SL-017,A,AI & Workflow Automation,Leverage,Sterling Nigeria Facility Services,Nigeria,Facility services and cleaning products,https://sterlingnigeria.org/,Managing Partner,info@sterlingnigeria.org,"Service-proposal and product-order CTAs share a broad enquiry route while some products are marked Coming Soon","Test whether service and product enquiries need distinct qualification and follow-up paths","Workflow Friction Map",awaiting mobile approval,"Preserve route-clarity item; prepare workflow map only after interest",draft-only
BW-SL-018,B,AI & Workflow Automation,Leverage,PERCOSO Nigeria,Nigeria,Integrated facility management and MEPC,https://percosonigeria.com/,Operations/Commercial Lead,info@percosonigeria.com,"Integrated services, quote route, named phone routes, and a public footer placeholder","Test how quote intake, service classification, assignment, and reporting work; do not infer inefficiency","Workflow Friction Map",existing research,"Verify exact gap and responsible buyer before drafting",research
BW-SL-019,B,AI & Workflow Automation,Leverage,Ready Clean,Hungary,Cleaning services,https://www.readyclean.hu/en,Managing Director/Operations Lead,info@readyclean.hu,"English service, quote, reference, phone, and email routes are visible","Use a functioning quote path as a discovery trigger for response and follow-up workflow, not as proof of a problem","Workflow Friction Map",existing research,"Verify quote journey and identify one concrete operational trigger",research
BW-SL-020,A,AI & Workflow Automation,Leverage,New Solution Service Kft,Hungary,Office cleaning,https://www.nsskft.hu/en/irodatakaritas,Managing Director/Operations Lead,arajanlat@nsskft.hu,"English quote form contains Hungarian form and legal labels","Test buyer routing and downstream quote handling after correcting public-language friction","Workflow Friction Map",existing research,"Reverify form, destination, and responsible buyer",research
BW-SL-021,A,Execution & Operating Systems,Delivery,EREFA Ltd,Nigeria,Facility management and manpower/logistics,https://erefafm.com/,CEO/Operations Director,enquiry@erefafm.com,"Broad FM, manpower, logistics, cleaning, security, and HSE offer with repeated public content blocks","Test how client, work, ownership, and reporting state are coordinated across service lines","Execution System Health Check",awaiting mobile approval,"Preserve current public-route approval item; introduce execution diagnosis only after engagement",draft-only
BW-SL-022,A,Execution & Operating Systems,Delivery,Starmate Nigeria Ltd,Nigeria,Facility and property services,https://www.starmatenigeria.com/,Managing Director/Operations Director,contact@starmatenigeria.com,"Broad FM, cleaning, pest-control, MEP, HVAC, and quote routes","Test whether multi-service delivery has one dependable operating loop across CRM, tasks, files, and reporting","Execution System Health Check",awaiting mobile approval,"Preserve exact credibility item; qualify execution need in discovery",draft-only
BW-SL-023,B,Execution & Operating Systems,Delivery,OMMA Integrated Global Services,Nigeria,FM construction property and travel logistics,https://ommaintegratedservices.com.ng/,CEO/Operations Director,operations@ommaintegratedservices.com.ng,"Several distinct service lines, quote and appointment routes, and client proof","Do not force an approach; seek a real cross-service execution or growth initiative","Execution System Health Check",verified hold,"Research leadership and current initiative; hold if no specific gap",research
BW-SL-024,B,Execution & Operating Systems,Delivery,Avenir Facility Management Kft,Hungary,Facility management and security,https://www.afm.hu/hu,Managing Director/Operations Director,info@afm.hu,"Security, audit, soft FM, hard FM, locations, certifications, and quote route","Test whether multi-location delivery, evidence, approvals, and reporting resolve into one operating loop","Execution System Health Check",existing research,"Verify buyer, market trigger, and current delivery-system need",research
BW-SL-025,B,Execution & Operating Systems,Delivery,UrbanCore Facility Management,Nigeria,Facility management,https://www.urbancorefm.com/,Managing Director/Operations Lead,contact.urbancore@gmail.com,"Multiple services and WhatsApp/call routes with repeated public trust-card copy","Use visible coordination complexity as a discovery hypothesis; do not infer internal execution failure","Execution System Health Check",existing research,"Verify responsible buyer and one current execution signal",research
BW-SL-026,A,Execution & Operating Systems,Delivery,Appinio,Germany,Global market-research platform and consultancy,https://www.appinio.com/,"Arne Wolter, CEO",,"New CEO appointed for the next growth phase; live Senior Revenue Operations role owns HubSpot, cross-functional workflows, data model, CRM health, and documentation","Test which revenue-system decisions should remain executive-owned, which Business Intelligence should validate, and which the Senior RevOps hire should operationalize","Revenue System Decision Snapshot","live test asset produced","Verify a compliant executive contact route; request approval before CRM/task writes or outreach",approval-required
